_time,metric,value
2025-02-05T00:00:00.000+0100,anti-spoofing,0
2025-02-06T00:00:00.000+0100,anti-spoofing,10
2025-02-07T00:00:00.000+0100,anti-spoofing,7
2025-02-08T00:00:00.000+0100,anti-spoofing,0
2025-02-09T00:00:00.000+0100,anti-spoofing,0
2025-02-10T00:00:00.000+0100,anti-spoofing,80
2025-02-11T00:00:00.000+0100,anti-spoofing,58
2025-02-12T00:00:00.000+0100,anti-spoofing,0
2025-02-05T00:00:00.000+0100,call-notifications-nokia,13838
2025-02-06T00:00:00.000+0100,call-notifications-nokia,137509
2025-02-07T00:00:00.000+0100,call-notifications-nokia,114471
2025-02-08T00:00:00.000+0100,call-notifications-nokia,45255
2025-02-09T00:00:00.000+0100,call-notifications-nokia,11327
2025-02-10T00:00:00.000+0100,call-notifications-nokia,106861
2025-02-11T00:00:00.000+0100,call-notifications-nokia,107769
2025-02-12T00:00:00.000+0100,call-notifications-nokia,93535
2025-02-05T00:00:00.000+0100,callnotification-whitelist,0
2025-02-06T00:00:00.000+0100,callnotification-whitelist,43
2025-02-07T00:00:00.000+0100,callnotification-whitelist,2
2025-02-08T00:00:00.000+0100,callnotification-whitelist,0
2025-02-09T00:00:00.000+0100,callnotification-whitelist,0
2025-02-10T00:00:00.000+0100,callnotification-whitelist,2
2025-02-11T00:00:00.000+0100,callnotification-whitelist,2
2025-02-12T00:00:00.000+0100,callnotification-whitelist,2
2025-02-05T00:00:00.000+0100,callstatus,389
2025-02-06T00:00:00.000+0100,callstatus,1472
2025-02-07T00:00:00.000+0100,callstatus,1627
2025-02-08T00:00:00.000+0100,callstatus,1485
2025-02-09T00:00:00.000+0100,callstatus,1265
2025-02-10T00:00:00.000+0100,callstatus,1454
2025-02-11T00:00:00.000+0100,callstatus,1223
2025-02-12T00:00:00.000+0100,callstatus,932
2025-02-05T00:00:00.000+0100,dynamic-bandwidth-es,1
2025-02-06T00:00:00.000+0100,dynamic-bandwidth-es,10
2025-02-07T00:00:00.000+0100,dynamic-bandwidth-es,5
2025-02-08T00:00:00.000+0100,dynamic-bandwidth-es,5
2025-02-09T00:00:00.000+0100,dynamic-bandwidth-es,6
2025-02-10T00:00:00.000+0100,dynamic-bandwidth-es,10
2025-02-11T00:00:00.000+0100,dynamic-bandwidth-es,3
2025-02-12T00:00:00.000+0100,dynamic-bandwidth-es,3
2025-02-05T00:00:00.000+0100,encrypted-network-id,0
2025-02-06T00:00:00.000+0100,encrypted-network-id,2
2025-02-07T00:00:00.000+0100,encrypted-network-id,2
2025-02-08T00:00:00.000+0100,encrypted-network-id,0
2025-02-09T00:00:00.000+0100,encrypted-network-id,0
2025-02-10T00:00:00.000+0100,encrypted-network-id,2
2025-02-11T00:00:00.000+0100,encrypted-network-id,2
2025-02-12T00:00:00.000+0100,encrypted-network-id,2
2025-02-05T00:00:00.000+0100,location-extension,0
2025-02-06T00:00:00.000+0100,location-extension,6
2025-02-07T00:00:00.000+0100,location-extension,3
2025-02-08T00:00:00.000+0100,location-extension,0
2025-02-09T00:00:00.000+0100,location-extension,0
2025-02-10T00:00:00.000+0100,location-extension,3
2025-02-11T00:00:00.000+0100,location-extension,8
2025-02-12T00:00:00.000+0100,location-extension,3
2025-02-05T00:00:00.000+0100,network-authentication,0
2025-02-06T00:00:00.000+0100,network-authentication,2
2025-02-07T00:00:00.000+0100,network-authentication,2
2025-02-08T00:00:00.000+0100,network-authentication,0
2025-02-09T00:00:00.000+0100,network-authentication,0
2025-02-10T00:00:00.000+0100,network-authentication,2
2025-02-11T00:00:00.000+0100,network-authentication,2
2025-02-12T00:00:00.000+0100,network-authentication,19
2025-02-05T00:00:00.000+0100,roaming,0
2025-02-06T00:00:00.000+0100,roaming,0
2025-02-07T00:00:00.000+0100,roaming,0
2025-02-08T00:00:00.000+0100,roaming,0
2025-02-09T00:00:00.000+0100,roaming,1
2025-02-10T00:00:00.000+0100,roaming,0
2025-02-11T00:00:00.000+0100,roaming,0
2025-02-12T00:00:00.000+0100,roaming,28
2025-02-05T00:00:00.000+0100,roaming-service-configuration,1
2025-02-06T00:00:00.000+0100,roaming-service-configuration,13
2025-02-07T00:00:00.000+0100,roaming-service-configuration,28
2025-02-08T00:00:00.000+0100,roaming-service-configuration,13
2025-02-09T00:00:00.000+0100,roaming-service-configuration,30
2025-02-10T00:00:00.000+0100,roaming-service-configuration,63
2025-02-11T00:00:00.000+0100,roaming-service-configuration,1137
2025-02-12T00:00:00.000+0100,roaming-service-configuration,34
2025-02-05T00:00:00.000+0100,OTHER,0
2025-02-06T00:00:00.000+0100,OTHER,2
2025-02-07T00:00:00.000+0100,OTHER,2
2025-02-08T00:00:00.000+0100,OTHER,0
2025-02-09T00:00:00.000+0100,OTHER,0
2025-02-10T00:00:00.000+0100,OTHER,2
2025-02-11T00:00:00.000+0100,OTHER,2
2025-02-12T00:00:00.000+0100,OTHER,2
